id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
254952945,79556696,17066,1752180,180177,79096900,27465400,0.10283,15.675,15.728,0.228591
254949088,79556696,16095,135960,22094.9,8998800,3512290,0.16251,25.8332,25.8338,0.0589671
254947994,79556696,15815,1078870,100423,55553200,14559500,0.0930815,13.4952,13.526,0.278791
254945148,79556696,693,1440520,225528,85216200,34178900,0.156561,23.7268,23.7373,0.146383
254948242,79556696,15912,1460100,135215,86232200,22587500,0.0926063,15.4698,15.1909,0.540982
254943603,79556696,275,14221800,1419560,724010000,212737000,0.0998163,14.9585,14.9489,0.291204
254946066,79556696,962,12555000,1800370,857349000,323710000,0.143398,25.7833,25.91,0.261436
254953994,79556696,17449,627047,62345.2,26266800,9434460,0.0994266,15.0458,15.0577,0.170085
254954135,79556696,111220572,182258,17132.6,9253350,2535110,0.0940016,13.9095,13.6178,0.286763
254943861,79556696,343,468994000,47979700,22166700000,7365320000,0.102304,15.7045,15.6826,0.321933
254952780,79556696,17022,34969,5268.06,2166000,852141,0.150649,24.3685,0,0
254953614,79556696,17300,1049280,98804.5,46880800,14940900,0.0941642,14.2392,14.3819,0.380646
254953579,79556696,17279,31322.3,2376.39,1256420,359490,0.0758689,11.4771,0,0
254947095,79556696,15620,34969,1448.71,851082,207351,0.0414285,5.92955,0,0
254951086,79556696,16561,865593,100617,43288100,16408200,0.116241,18.956,19.0583,0.0974989
254954007,79556696,17456,454132,43679.5,18569200,6550520,0.0961824,14.4243,14.4246,0.174345
254946148,79556696,988,3756950,590824,233351000,97324300,0.157262,25.9052,25.9249,0.279569
254953913,79556696,17404,102956,10430.8,4595390,1585360,0.101314,15.3985,15.3593,0.270931
254945347,79556696,756,454597,66054.8,27711500,9780850,0.145304,21.5154,21.5154,0.165505
254943063,79556696,114,222966,17645.8,7999950,2566400,0.0791412,11.5103,11.502,0.205107
254953546,79556696,17257,1016630,101669,44352600,15506300,0.100006,15.2528,15.3105,0.192059
254952673,79556696,16971,427559,55363.4,23411900,9134680,0.129487,21.3647,21.6928,0.177374
254946190,79556696,1010,1079660,175612,68650600,28857600,0.162655,26.7284,26.7298,0.0579819
254944852,79556696,636,1674780,198229,86550000,30797600,0.118361,18.389,18.1825,0.0981156
254943035,79556696,100,1359780,190906,76813300,30898400,0.140395,22.7231,22.7139,0.15128
254954040,79556696,17494,974170,104102,50512800,16301400,0.106862,16.7336,16.8339,0.193738
254954119,79556696,17605,33989.8,2860.58,1655870,447798,0.08416,13.1745,0,0
254945086,79556696,678,1064710,184956,74634100,31447900,0.173714,29.5365,29.5975,0.113486
254948748,79556696,16028,6408100,838851,366251000,128419000,0.130905,20.0402,20.0996,0.167583
254945727,79556696,874,277942,25806.6,13156600,3967080,0.0928491,14.2731,14.2925,0.241837
254948502,79556696,15950,1551240,243437,91667500,40085200,0.15693,25.8407,26.0364,0.275125
254949886,79556696,16233,1215970,152029,59171300,22762600,0.125027,18.7198,18.7214,0.218628
254954150,79556696,111220670,582508,56526.9,26473500,8680840,0.0970405,14.9025,15.017,0.139962
254950637,79556696,16462,1105490,122763,54884100,19704200,0.111048,17.824,17.8291,0.119318
254951509,79556696,16639,660097,52526.7,26367700,8226470,0.0795742,12.4625,12.4653,0.269246
254951784,79556696,16723,289377,27087.7,13711500,4055790,0.0936072,14.0156,13.9256,0.142622
254943165,79556696,170,1791600,198289,87461700,33177200,0.110677,18.5182,18.6482,0.262584
254944788,79556696,590,2880540,449875,189758000,72786800,0.156177,25.2685,25.2883,0.155352
254944885,79556696,662,292379,29731.1,14263900,4393490,0.101687,15.0267,14.5668,0.150912
254944555,79556696,515,944163,142964,57985000,21445600,0.151419,22.7138,22.7138,0.1736
254949961,79556696,16265,313481,44540.9,17384700,6745150,0.142085,21.5169,21.5494,0.163658
254946060,79556696,959,1063810,77866.6,38574900,13255900,0.0731962,12.4608,12.88,0.490504
254949933,79556696,16257,178110,19786,8081820,3029420,0.111088,17.0086,17.4611,0.197548
254949372,79556696,16170,7701200,976757,445033000,157231000,0.126832,20.4165,20.4212,0.253197
254945271,79556696,724,419217,60025.8,23002400,8830330,0.143186,21.0639,21.0637,0.111954
254949735,79556696,16204,190182,24451.6,9827000,3722040,0.128569,19.5709,19.7902,0.055935
254951523,79556696,16647,69845.7,7138.46,3221380,1124320,0.102203,16.0971,16.0994,0.150586
254945916,79556696,942,10845300,1282730,559068000,195897000,0.118275,18.0629,18.0666,0.226859
254954122,79556696,17614,29930.8,3183.56,1298560,517265,0.106364,17.282,0,0
254945132,79556696,689,209814,17308.9,8348830,2652040,0.0824964,12.64,12.64,0.388724
254950218,79556696,16355,5494070,583737,248325000,91001400,0.106249,16.5636,16.6335,0.235089
254948620,79556696,15979,16858200,2130680,890701000,355970000,0.126388,21.1155,21.1473,0.331058
254952237,79556696,16865,1764930,206774,91212400,32731200,0.117157,18.5453,18.7064,0.306838
254943540,79556696,257,687710,111252,47425900,17570600,0.161772,25.5495,25.6041,0.101503
254945514,79556696,822,77250600,9562410,4118670000,1561450000,0.123784,20.2128,20.292,0.371077
254947401,79556696,15689,126444,9866.66,5776670,1569670,0.0780319,12.414,12.4502,0.126466
254954188,79556696,111220792,1010300,106074,44925400,16019900,0.104992,15.8566,15.975,0.1898
254946796,79556696,10711,3385150,160189,200547000,27555600,0.047321,8.14016,8.15479,0.545436
254953093,79556696,17139,354516,30213.1,14558600,4523500,0.0852235,12.7597,12.5184,0.0701779
254951708,79556696,16692,8391480,879158,459680000,135842000,0.104768,16.1881,16.2155,0.322737
