Region,NTG-1M,NTG-1M,NTG-1M,NTG-1M,G20-1M,G20-1M,G20-1M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,G20-6M,G20-6M,G20-6M,G20-6M,G20-6M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,G20-9M,G20-9M,G20-9M,G20-9M
iCEA,0.000798492,0,0,0,0,0.00120044,0,0,0.002793985,0,0,0.000445816,0.000199588,0.000598755,0,0.000399665,0.001795305,0,0.002196685,0.00423527,0,0,0.04205613,0.000180236,0.069478085,0.05610225,0.000927066,0.000370788,0.03223505,0.000181481,0.005226554,0.005874545,0.00405749,0,0.00333652,0.00118613,0.000169491,0.00178426,0,0,0.000251158,0,0.0032974
iBLAa,0.00078105,0,0,0,0,0,0,0,0,0,0,0,0.005466015,0.000624926,0.000312483,0,0.00281178,0,0,0,0.000172633,0.001035265,0.00090156,0,0.00071492,0.024382334,0.000357522,0.000536149,0.00172179,0.000361579,0.00270001,0.0046465,0.001429345,0.00178676,0.002151925,0.004841385,0.00250042,0.0037046,0.000831404,0.000357151,0.00234911,0.00267836,0.0086808
iMEA,0.000458112,0.00086733,0,0,0.000618385,0.000186101,0.000908485,0,0.001640055,0.000430284,0,0,0.017995105,0.00425971,0.000853323,0.001726595,0.00525272,0.000361783,0,0.000756565,0,0,0.03135965,0.012360875,0.006247435,0.01586526,0.003769615,0.009915245,0.15421435,0.0084089,0.00213364,0.0182489,0.02323245,0.0205589,0.0229043,0.04559355,0.0085213,0.00825253,0.039556155,0.02563313,0.041969235,0.01476298,0.01606585
iBMA,0,0.002025,0,0.00236282,0,0,0,0,0,0,0,0.001482075,0.000675095,0,0.00108868,0,0.00134902,0,0,0,0,0.000217816,0.00240199,0.00134687,0.001107345,0.00423542,0.001004672,0.00180498,0.001482845,0.02709195,0,0.008712785,0.00922527,0.00886172,0.00504576,0.0124075,0.00443129,0.000644432,0.000930237,0.03810103,0.010532405,0.010190015,0.00195033
iCOAa,0,0,0,0,0,0.000882755,0,0,0,0.000501265,0,0.0261818,0.0087884,0.0005018,0.0006785,0,0.00153878,0.00417168,0,0.02179065,0.000338311,0,0.011534185,0.021739265,0.00143606,0,0.00381438,0.00192478,0.0168645,0.004841945,0.008743055,0.0446746,0.152078,0.00540619,0.010525875,0.08229615,0.010843045,0.009697955,0.02692605,0.1045405,0.4987425,0.02338375,0.1352355
cRSP,0.000988535,0.001803796,0.000507442,0.000710696,0.00039633,0.000478321,0.000550261,0.000850723,0.002311,0.001327279,0.002038846,0.003589291,0.000969915,0.005038684,0.004181534,0.013443457,0.001789736,0.003204261,0.009521436,0.003174291,0.001994436,0.001187927,0.026242292,0.007464905,0.019953683,0.060463184,0.069959148,0.056362291,0.011951964,0.021363108,0.020695333,0.016169256,0.02239446,0.088529296,0.044208425,0.032423483,0.013671549,0.015497636,0.039621999,0.052812583,0.101575441,0.008258609,0.081598716
cSSp-bfd,0.000516478,0.00063,0.002060852,0.000316891,0,0.000553821,0.000217693,0.000592666,0.000419811,0.003659495,0.000632123,0.003625058,0.000799188,0.008189335,0.00071168,0.00059694,0.00086158,0.00557828,0.00320743,0.003266421,0.00299379,0.002711078,0.00817594,0.00122705,0.007742925,0.0243446,0.000382707,0.00380692,7.33195E-05,0.00483988,0.014104925,0.001469381,0.00074683,0.0387586,0.0231244,0.01658175,0.01523725,0.002029745,0.005107947,0.0278242,0.02636335,0.0187972,0.00517915
cVISC,0,0.00046159,0,0.000167581,0,0,0.000351987,0,0.001367915,0.000131289,0.000300891,0,0,0.00176898,0.0001346,0.000811746,0.00540914,0.00941835,0.002312065,0.00105853,0.00011229,0.000114685,0.004016685,0,0.001792125,0.00130934,0.000268948,0.00436014,0.037856239,0.000872219,0.013574965,0.000329167,0.01494801,0.0980141,0.009785175,0.011161415,0.001335428,0.000897925,0.05404288,0.01868071,0.01002006,0.00716614,0.00407787
cAIp,0,0,0,0,0,0,0,0,0,0.000746996,0.000292029,0,0,0.000979685,0,0,0.00260676,0.00743015,0,0.000967621,0,0,0.003585763,0.001061628,0.00061633,0.0268345,0.000483258,0.00300681,0.00331172,0.002243025,0.0388307,0.00173703,0.00291593,0.00580106,0.003962553,0.001226485,0.001691197,0.00175853,0.000925084,0.001692665,0.003897245,0.006194609,0.002175
cEP,0,0.00060625,0,0,0,0,0,0,0,0,0,0,0,0.00335297,0.000372745,0.00242564,0.0025012,0.000303086,0,0.00164158,0.00074561,0.000373076,0,0,0,0.001865287,0,0.00526555,0,0.00149255,0.000375655,0,0,0.000327206,0,0.000327206,0.0002325,0,0.000465106,0.000930396,0.001120785,0,0.000373
cCA1,0.000877214,0.000223988,0.000653428,0.000330587,0.00087765,0.002596393,0.001353767,0.001456038,0.00089984,0.001199861,0.001059895,0.00225311,0.003661187,0.001542399,0.005296495,0.001964305,0.001713144,0.001171054,0.007976917,0.007905627,0.00161479,0.002733279,0.056595047,0.033356023,0.005984567,0.009354639,0.037624893,0.050996636,0.00623502,0.074007805,0.063356594,0.05238898,0.055034218,0.119856283,0.153995933,0.10226455,0.122459433,0.1346364,0.022827917,0.164626833,0.373668517,0.23909925,0.24887255
cCA2,0.00099701,0.001537515,0,0.002172453,0,0.003622725,0.000256345,0,0,0.002142108,0,0,0,0.00026182,0,0.00135781,0.002353163,0,0.004547875,0,0.000426193,0.00034,0.011039788,0.010643575,0.009039545,0.001899695,0.01797357,0.02387969,0.007201165,0.023506998,0.016357048,0.04309494,0.079761583,0.152531275,0.106390625,0.10101085,0.13079505,0.168033175,0.0247317,0.10239815,0.551531465,0.140017175,0.251173625
cCA3,0.00010463,0.000224826,0.00006166,0.0014635,0.002087277,1.89717E-05,0.001074373,0.020673734,0.092364965,0.04281125,0.046637475,0.00655661,0.010026735,0.01737741,0.034430867,0.009729056,0.014810434,0.023751104,0.011890623,0.056961187,0.111074522,0.040065428,0.0874284,0.5580732,0.361658483,0.244374287,0.344866717,0.203916683,0.017674074,0.10299985,0.081652667,0.75735965,0.36607395,1.346854667,0.5740435,1.303586,1.456769833,1.4958445,0.925084333,0.905560333,1.802123667,1.577780833,1.942577
cDG,0.000630346,0.001619387,0.000689088,0.000223503,0,0.000923923,0,0.005891103,0.001332534,0.004523305,0.007700959,0.125297146,0.002778153,0.001680699,0.005065494,0.000824612,0.002109081,0.004754247,0.0017653,0.002296028,0.025920938,0.020623135,0.050895993,0.10372675,0.0806087,0.022784113,0.038926117,0.049174083,0.006943842,0.050624483,0.033687617,0.149639317,0.096883867,0.202097033,0.14065635,0.3690522,0.374058833,0.268247567,0.190134233,0.18268275,0.393469167,0.2591014,0.473207667
cLD,0.00065692,0.000515,0,0.000502755,0.001565,0,0,0,0.000655625,0.000826915,0,0.000630775,0.00236313,0.000406657,0,0.000246274,0.00191229,0.000117895,0.000937085,0.001376505,0.000419098,0.000877108,0,0,0,0.000567405,0.00206664,0.000150776,0,0,0,0.0008313,0.0005348,0.001710242,0.000675,0.000168852,0,0,0.000394826,0.000647062,0.003871296,0,0
cMD,0.001121078,0.000763984,0,6.99555E-05,0,0.000625135,0,0.000529975,0,0,0.000911895,0.00069812,0.000351751,0.001407539,0.000226354,0,0.00102432,0.001011695,0.000179414,0.00116746,0.000319226,0.000145604,0.000101629,0,0.000094226,0.001684317,0.0007479,0.000257134,0,0.001014752,0.000869655,0.000324005,0.001079295,0.000618365,0.00031,0.000075725,0.000551029,0.02872694,0.000527375,0.001662895,0.000924651,0.00081281,0.01674435
cVAL,0.00684802,0.00340606,0.000915981,0.000869087,0.00197317,0.002325215,0.000594221,0.000885405,0.001011901,0.00122219,4.21592E-05,0.001000228,0.000577266,0.000807475,0.000592874,0.000058898,0.002085882,4.11256E-05,0.000210344,0.001197492,0.0037096,0.004500945,5.23285E-05,0.0014273,0.000269213,0.000165783,0.000492268,0.000859321,5.58265E-05,0.002983275,0.005080805,0.00166686,0.000729682,0.000990261,0.000528916,0.0010485,0.00292193,0.000659935,0.000490364,4.69545E-05,0.000624671,0.001359266,0.0010897
cSMT,0.000689505,0.00127899,0,0.001087255,0.000107219,0.000558345,0.000098771,0.000492091,0,0.0018942,0,0,0.004922375,0.001279538,0,0.000385782,0.002224785,0.000297895,0.000203691,0.007248,0.00210896,0.000495679,0.000365162,0.000918017,0.000393426,0.004897065,0.001191385,0.00228999,0.008137741,0.00365215,0.000784161,0.000104441,0.002480405,0.002287243,0.001147815,0.00130729,0.011324615,0.000218,0.002504905,0.000762623,0.000656265,0.005883155,0.01691125
cHY,0.001613434,0.00081,0.000243553,0,0.000925,0.000785315,0.000547421,0.000674555,0,0.000723177,0,0.000059213,0.00347383,0.000447574,0.000725595,0.00069038,0.000711267,0.00108751,0.000253986,0.001364615,0.000420851,0.000670455,0.0126862,0.00992122,0.006905835,0.004251875,0.0115871,0.0173762,0.01259479,0.01013388,0.00237034,0.012165,0.015425075,0.006903642,0.00726996,0.0265732,0.01173163,0.00763572,0.01631531,0.0127351,0.04637885,0.01540705,0.021057
cGP,0.004587442,0.00191547,0,0.009016654,0.000715387,0.001483835,0.000357657,0,0,0,0,0,0.00391396,0.001037885,0.000474496,0.00068033,0.001836265,0.00136748,0.001108465,0.000169731,0.00771125,0.005099495,0.000751355,0,0.00107464,0.003677462,0.00362832,0.000191036,0.000187727,0,0.003296825,0.002293535,0,0,0.00442926,0.003317655,0.002432885,0,0.000968915,0.002933092,0.0009216,0.001568551,0
cCEA,0.001498646,0.00015,0.00089942,0.000449697,0.00105,0,0.000449615,0,0.000299755,0.000299771,0.00042606,0,0,0.00074901,0.000142812,0,0.000669905,0,0.002547354,0.001223065,0,0.000188624,0.00060822,0,0.000736307,0,0.004728947,0.00035506,0,0,0.0013003,0.00131068,0,0.00253259,0.00196127,0.000389621,0.001364777,0.00222605,0.000178588,0.000178609,0,0,0
cBLAa,0,0,0,0.000210613,0,0,0,0,0,0,0,0,0.00059694,0.00079559,0,0,0.00443046,0.005969,0.005769509,0.00737455,0,0,0.000310034,0,0.00244461,0.001437295,0.000285845,0.00114448,0.000286079,0,0,0,0.001394465,0.00022372,0.001128922,0.000223674,0,0.000423575,0.000690254,0,0,0.0009054,0.0002895
cMEA,0,0.000174,0.000167884,0,0,0.00062659,0.000831001,0.000523245,0,0,0,0.005193,0.00142164,0,0.00010516,0,0.002228825,0.00238152,0.000283608,0.00123648,0.00927425,0,0.00114764,0.00762693,0.000476968,0.005150967,0,0.004793025,0,0.000171982,0,0.001289562,0.00752158,0.000692045,0.000406755,0.001898795,0.000542099,0.00197536,0.000135589,0.007864455,0.00638529,0.01234165,0.000192075
cBMA,0,0,0,0,0.002055,0,0,0.00114114,0,0,0,0,0.000228177,0,0.01044575,0,0.00328404,0,0,0.00206042,0,0,0.01755678,0,0,0.00590184,0.001348331,0,0,0.00100277,0.001838226,0.01014695,0.001026345,0.000231102,0,0.003003971,0,0,0.00046212,0,0.002238705,0.0033482,0.00056
cCOAa,0.000158169,0,0,0.000744895,0,0,0,0,0,0.00024123,0,0.00020155,0.00087071,0.00174925,0.000782885,0,0.002749275,0.000310059,0.00348394,0.002553165,0,0,0.002640425,0,0.000492432,0.00216835,0,0.00364842,0,0.00069375,0.00212421,0.00074705,0.00738462,0.000143621,0.001542672,0.00121815,0.00179454,0.0003855,0.00381681,0.002245178,0.0032181,0.002691295,0
iVISa,0.00097905,0.000811984,0,0.000757667,0.00016525,0.002730685,0.000273419,0.000425069,0.002615637,0.00060477,0,0.02819405,0.016230905,0.0150168,0.006821105,0.0151432,0.004372905,0.009376225,0.02520145,0.004266455,0.000471072,0.01468646,0.287396,0.03125,0.04270795,0.2205065,0.008590486,0.02516945,0.3502975,0.1251205,0.5375165,0.009764845,0.004708325,0.02662165,0.0801768,0.05513435,0.05607165,0.02855545,0.3096205,0.194354,0.3789625,0.01517197,0.02516235
iAUD,0.001476481,0.00033345,0,0,0.00005725,0.000332924,0,0.000590513,0.000403383,0.000255041,,0.007294573,0.005385178,0.008901978,5.80985E-05,0.223814125,0.007958303,0.000125905,0.2151896,0.006011181,0.00099719,0.000540459,0.320037675,0.08400205,0.090252325,1.8635065,0.010895593,0.06276865,0.72389675,0.1372645,1.1663795,0.010313313,0.0193322,0.113900425,0.22516475,0.1600956,0.1351528,0.040047825,0.19678075,0.2260645,1.3284445,0.0361478,0.029687075
iTEa,0,0,0,0,0,0.0005575,0.000277383,0,0.0019651,0.00658485,,0.016482183,0.043234158,0.010736773,0,0.166015903,0.004503718,0.0109262,0.15844165,0.01622795,0.000672738,0,0.168153,0.064214025,0.024640565,1.33704225,0.0156969,0.135866375,0.75049625,0.0830294,1.0956015,0.03571924,0.047745108,0.065935275,0.2574326,0.17864195,0.1384412,0.022298325,0.14796525,0.18922835,0.8702365,0.056506625,0.122118975
iECT,0,0,0,0,0,0,0,0.000220358,0.0032217,0.00271489,,0.0337487,0.066280818,0.00179383,0,0.108262323,0.00347564,0.001150723,0.068689748,0.00021823,0,0.00039969,0.295349975,0.117083,0.08444214,0.296359425,0.022012515,0.061740825,0.4043669,0.229311825,0.64746275,0.098104353,0.13563635,0.17478015,0.20319465,0.704858125,0.478037,0.133738625,0.3831665,0.20331575,0.688368,0.1057215,0.1848648
iPERI,0.000214585,0,0,0.000906743,0,0.00321905,0,0.040604408,0.001157943,0.003296295,,0.07330775,0.133738775,0.000519978,0.029432588,0.10958115,0.009691215,0.00885719,0.050238223,0.006134883,0.479360703,0.169493398,4.01657925,2.9814575,5.44971675,4.57897175,0.445260225,0.4455235,5.78551975,3.7151035,2.5718345,4.70341,6.54553,3.009562,4.6057,7.9989225,8.9414725,0.98647025,4.7047375,3.38643,1.31087,2.53307275,2.07034825
iENTl,0.000411866,0.002363408,0.00065243,0.001514557,0.000119492,0.000323209,0.000119746,0.039342272,0.070956787,0.004250324,4.6358465,0.243151983,0.967075,0.033659745,0.079985983,0.065389717,0.256725872,0.047896733,0.044466025,0.7517936,0.214998417,0.3072725,1.9116635,5.432076667,7.494968333,3.253643333,4.456353333,1.890786667,6.064525,8.399303333,6.139796667,3.6855,3.297508333,6.426453333,4.236548333,7.050101667,4.619731667,3.724168333,3.046656667,5.256833333,3.003119667,3.425185,3.359663333
iBLAp,0.000284284,0.0121196,0.000178679,0.000104615,0,0.012017575,0,0.001669833,0.000675484,0.00441005,0,0.0198709,0.0126326,0.001930405,0,0.00053717,0.016634377,0.009149815,0.000260058,0.00139334,0.000374576,0,0.00261458,0.085055,0.026164135,0.00178874,0.006999551,0.033875795,0.008004255,0.01251028,0.015091195,0.09023565,0.0258594,0.00971752,0.0119814,0.08079495,0.0525494,0.0185318,0.008225,0.080114,0.07647405,0.04571365,0.149923
iTR,0,0,0,0,0,0,0,0,0.0056577,0.0063747,0,0.007588515,0.03698505,0.01198445,0,0,0.006629685,0.00125723,0.00384993,0.000632225,0,0.00109181,0.1050236,0.4163925,0.013003435,0.02229245,0.0284151,0.00784296,0.2547565,0.05272395,0.2907105,0.05631495,0.02525825,0.0199904,0.01721095,0.1435625,0.0179833,0.01802174,0.06055,0.09729855,0.07429735,0.06900375,0.06900635
iCOAp,0.00016934,0.000270794,0,0,0,0.000663473,0,0,0.0075891,0.001345562,0,0.002698675,0.009993645,0.002509625,0,0,0.00756342,0.0031795,0.003408845,0.04483685,0.001058995,0,0.00312394,0.26189,0.043670925,0.005250845,0.004660335,0.00272417,0.04143705,0.003265295,0.11671705,0.0172033,0.0252294,0.00100639,0.001484,0.080306,0.01860705,0.05761475,0.0645,0.02104845,0.03421195,0.0477806,0.2484855
iSUB,0.002375943,0.0089593,0.0060182,0.014202507,0.063132325,0.0686856,0.01807453,0.092700475,0.072823728,0.055931325,0.008138253,0.028207603,0.250447975,0.21759425,0.015999108,1.194082675,0.0587065,0.17119825,0.29020355,0.427491675,0.103863333,0.13570075,0.12774175,0.213367925,0.50386825,1.310483,0.5966,0.53375225,0.32803925,1.4997065,1.22590865,0.2042555,0.2798815,1.4485855,0.65900925,0.58689,0.6305445,1.0763135,1.83225225,0.67325525,1.11921575,0.63833725,0.9004325
iPT,0,0,0,0.003409065,0,0,0.00357,0,0.00353702,0,0,0.002032345,0.000466423,0.0063282,0,0.01257209,0,0,0,0.02151335,0.000206666,0,0.0363874,0.0001645,0.000331081,0.01114213,0,0.000122943,0.00083354,0.006462075,0.604969,0,0.00126895,0.000668782,0.001074391,0.028575365,0.0804624,0,0,0.000795,0.001737965,0,0.001447159
iPAG,0.002653122,0.0026086,0.000764893,0.000428954,0.000586667,0.002407387,0.001976605,0.001373389,0,0.000104948,0.000868706,0.003177644,0.001133795,0.001850602,0.005308765,0.003188364,0.001698814,0.000237745,0.0014629,0.003806477,0.00261761,0.000333489,0.053399483,0.001450083,0.037826816,0.130269233,0.050659496,0.017927497,0.003412325,0.005463276,0.04768154,0.009026183,0.008715893,0.044809842,0.020922797,0.05388725,0.02016512,0.011250157,0.0711846,0.017640087,0.06997869,0.019800458,0.025491367
iDpM,0.002322719,0.003821535,0.001426065,0.000526525,0.000269957,0.004228645,0.002181005,0.000972265,0.000202714,0.002144777,0.000927242,0.000530115,0.005411765,0.005861722,0,6.08255E-05,0.001856195,0.000531187,0.006557705,0.04114775,0.000860435,0.00076484,0.254873,0.0028505,0.000235227,0.008926205,0.00576582,0.00514919,0.01160866,0.00402956,0.579653,0.000758941,0.001581112,0.0016049,0.0038501,0.05763125,0.023502,0.00382884,0.0092,0.00654865,0.00163556,0.000976803,0.00411887
iTHp,0.000811951,0.002886545,0.00220398,0.000353906,0.0004491,0.005928267,0.00040813,0.002897946,0.005871363,0.000236648,0.002236013,0.003191421,0.001805323,0.00593372,0.0077981,0.016638928,0.02185444,0.012308825,0.0481529,0.001168818,0.00040658,0.000105509,0.52486625,0.0410124,0.002850151,1.55491575,0.00159194,0.020305337,0.041473475,0.006284128,0.37429625,0.037546958,0.025969188,0.002413338,0.033128075,0.083620525,0.06231045,0.013998728,0.014377875,0.033298541,0.10213198,0.058561436,0.0472208
iZI,0.00063093,0.00180491,0.000413456,0.000302664,0.00428653,0.008094955,0.00135235,0,0.01749685,0.00937943,0,0.135437285,0.00829485,0.014414085,0.00379512,0,0.0782056,0.000547515,0.009053595,0,0.000345035,0.1324825,0.3529215,0.00221,0.000634655,5.88221,0,0.00335177,0.00043672,0.0358405,0.0888333,0.005863595,0.005854135,0.00130833,0.049619555,0.0095698,0.099312975,0.00536877,0.01397,0.00782645,0.01872925,0.022736615,0.086343295
iVTA,0.002654083,0.00124449,0.000418239,0.002278966,0.000581952,0.002201489,0.001650913,0.042603705,0.004038236,0.005616511,0.004100187,0.00555104,0.000942815,0.007110405,0.002203688,0.000111588,0.020181048,0.000706925,0.002752058,0.013961725,0.00983923,0.000896517,0.1176297,0.027221508,0.022941475,0.016802493,0.020731675,0.036155225,0.046818133,0.043564725,0.04544415,0.01999628,0.035405368,0.059032325,0.14300365,0.12684135,0.11233875,0.1267044,0.121267375,0.071303725,0.08036005,0.03589875,0.3088814
iSN,0.00114135,0.000926221,0.00350521,0.001317604,0.000506238,0.00157784,0.005383786,0,0,0.001175835,0.01139258,0.000916192,0.000902643,0.000401521,0.001179905,0.002739041,0.004694232,0.001201078,0.000965019,0.000355463,0.003030098,0.000596117,0.012181874,0.01010233,0.05064787,0.026478898,0.000983092,0.001141508,0.003515473,0.002950765,0.00459079,0.00756115,0.002365765,0.00561891,0.01160005,0.025112135,0.01506359,0.007354018,0.0139817,0.01615244,0.019869548,0.001906958,0.035366003
iSUM,0.00282251,0,0.0587899,0,0.0654402,0.006562055,0.0710428,1.2026565,0.627218,0.6659975,0.255918,5.46391,1.739462,2.05897,2.26048,0.1329235,1.7803025,0.6099045,0.3632695,2.55174,1.5265755,2.62524,4.688955,6.599445,5.107345,3.765345,4.927565,4.74186,3.1753,4.74391,5.24753,6.913655,4.89518,5.494325,7.36386,9.341805,8.80943,6.007215,8.4732,7.116895,4.39465,7.24854,9.646385
iMM,0.00155373,0.000418977,0,0,0.000985,0.000167061,0,0.00076835,0,0.00268028,0.0286481,0.141082775,0.00414308,0.002876585,0.000980295,0,0.00124226,0,0.00083498,0,0.003736255,0,0.0238557,0.02985,0.03984896,0.007452625,0.05166815,0.011681815,0.00441125,0.00173833,0.013165385,0.382947,0.019643995,0.24175315,0.01634455,0.10139985,0.1249618,0.06380435,0.111686,0.0323037,0.23799245,0.14124775,0.06566855
cVISa,0.000323714,0.000360777,0.000764285,0.000188543,0.0004945,0.000396372,0.00013,0.000132184,0.004641565,0.000254353,0.00099886,0.0069826,0.003450746,0.00598168,0.00411879,0.002495594,0.0014862,0.000956562,0.00229494,0.000122241,0,0.001276331,0.03672505,0.00841,0.0147689,0.04148025,0.001098409,0.003212455,0.01970981,0.024340985,0.06533535,0.005105745,0.000484042,0.0320359,0.0663038,0.0210885,0.0267775,0.00686918,0.0562,0.02307755,0.1507025,0.00269164,0.00933346
cAUD,0.000277513,0,0,0.000166294,0,0.001082609,0.000582964,0.001983832,0.000121613,0.000748345,0.003903062,0.003828135,0.002952149,0.003966183,0.002602185,0.016996416,0.001766644,0.000148596,0.010323643,0.009261353,0.000110703,0.002158852,0.091309775,0.012116708,0.036592055,0.14075075,0.000610561,0.017185843,0.0675646,0.06169615,0.1945019,0.017328635,0.003192045,0.10027405,0.14306075,0.05434605,0.05492655,0.0410796,0.12897125,0.143102,0.72891425,0.02834244,0.009519595
cTEa,0,0,0.00045765,0,0,0,0,0,0.00634349,0,0.002430055,0.0018875,0.0010939,0.001107698,0.048139,0.022172575,0,0,0.01542695,0.006685183,0,0,0.014735283,0.01341457,0.01626651,0.11806285,0.0009262,0.00516908,0.012557843,0.008757693,0.11844615,0.002239645,0.009672943,0.034134068,0.100947475,0.043858025,0.093302225,0.003841738,0.035696725,0.047052275,0.5380993,0.01453213,0.041053555
cECT,0.00201769,0,0,0,0,0,0,0.00026235,0,0,0,0.004642525,0.000288908,0,0,0.002409903,0.000663968,0,0.002295833,0.00436235,0,0.00026909,0.025531075,0.00654711,0.01641058,0.0634179,0.005912353,0.010819563,0.072824525,0.006028083,0.06944375,0.004616098,0.003445138,0.042964875,0.017802115,0.024720228,0.05857592,0.014715593,0.01576275,0.036461075,0.34671185,0.003350613,0.047563775
cPERI,0.000690575,0,0,0,0,0.001473345,0,0,0.00027399,0,0,0.0055975,0.000289078,0,0.01275185,0.000461203,0.006157045,0,0.0046593,0.00531091,0,0.001007104,0.04471718,0.055877475,0.008691725,0.007660843,0.009938058,0.018310615,0.0039507,0.00883972,0.03555916,0.252439725,0.03610595,0.13649714,0.011946525,0.059562975,0.0181924,0.01990696,0.058299025,0.04003555,0.10046975,0.11872142,0.256448575
cENTl,0.000215954,0.000182968,7.72952E-05,0.00016488,0.000379503,0.000464798,0.000613776,0.000486148,0.003178319,0.000881824,0.00158881,0.00155362,0.001343942,0.006439146,0.002478384,0.004738679,0.002267168,0.002933125,0.002204442,0.007144812,0.002913623,0.011641249,0.009985802,0.013895044,0.005939943,0.009789697,0.020338433,0.013707055,0.010478985,0.016483542,0.010406332,0.031325583,0.021749392,0.078020508,0.040622205,0.088404383,0.024981933,0.032353445,0.040523017,0.0738751,0.1116476,0.050366023,0.090643633
cBLAp,0.00056,0,0.003173955,0,0,0,0,0,0,0.000142444,0,0.01252965,0.000236598,0.000597245,0,0,0.00353318,0.000477432,0,0.00087836,0.000176224,0,0,0,0.000482728,0.000629145,0,0,0,0,0.001632595,0.00226197,0,0.000405765,0.000202575,0,0,0.01644635,0.000241,0.009091155,0.000418067,0,0.00137156
cTR,0,0,0,0,0,0,0,0,0,0,0,0,0.000736265,0.00148978,0,0.000817495,0,0.00119313,0,0.00070433,0,0.000595,0.0071803,0.0017,0.002630571,0.002191925,0.002264775,0,0,0,0.00260826,0.00560138,0.002897337,0.000623945,0.00113665,0.007863075,0.000292653,0.000649148,0.001155,0.0051205,0.000402979,0,0.002493445
cCOAp,0.0006285,0.001517335,0,0,0,0,0.000367882,0.000183259,0,0,0,0.010359555,0.00059365,0.001812145,0,0,0.00265167,0.003205685,0.000183199,0.000743946,0.0115675,0,0.000343089,0,0,0.015227775,0,0,0.000253854,0,0.01751885,0.003553015,0,0.00164512,0,0.000930284,0,0.000759861,0.002395,0.0002265,0.000110087,0.000614155,0.003086185
cSUB,0.001326769,0.001929805,0.00035186,0.000201573,0.0000555,0.000491483,0.000518893,0.000758112,0.001073873,0.000665623,3.78753E-05,0.00055475,0,0.000878274,0.000654861,6.72733E-05,0.001320967,4.96808E-05,0.003394785,0.000997133,0.002228723,0,0.011503203,0.011051224,0.000689935,0.012532908,0.009155748,0.002503782,0.017373863,0.0228795,0.012686888,0.044460068,0.00836734,0.042328475,0.0278346,0.031242412,0.025318778,0.007264078,0.01985418,0.006829075,0.02272425,0.009547175,0.023509663
cPT,0.000360725,0,0,0,0,0.000313931,0.000313844,0,0,0,0,0.0212018,0,0.00067762,0.000313392,0.00477011,0.00185511,0,0.003742465,0,0,0,0.01002093,0.000605,0,0.000337292,0.000737,0.001009301,0,0.00166108,0.009460737,0.000288302,0.00012009,0.00749841,0.002204625,0.00734374,0.001536675,0.000837625,0.0002845,0,0.001506995,0.000583997,0.002197115
cPAG,0.001481342,0.002586855,0.00150481,0.001018832,0.000310475,0.001899137,0.001739488,0.000129375,0.000860299,0.000509201,0.000507523,0.022339625,0.001071623,0.000643161,0.000272426,0.0004023,0.006314945,5.22575E-05,0.001129696,0.002708017,0.000438367,0.000396369,0.02031998,0.000588235,0.001410389,0.048518758,0.00143473,0.006049737,0.00308912,0.005056578,0.02147347,0.001193761,0.003861609,0.012599722,0.0350747,0.02469978,0.024594035,0.00636474,0.008175359,0.001480457,0.01012121,0.003131614,0.01927932
cDpM,0.001896966,0.001145534,0.000913755,0.0019021,0.00003385,0.002175675,0.001325535,4.61972E-05,0.000518057,0.000324526,0.000502545,0.003855955,0.000176868,0.00026478,0.000509113,0.001022522,0.000705951,0.00409181,0.000484188,0,0.000101505,0.000216087,0.00782455,0.000491,0.000250449,0.004958995,0.000298119,0.000979111,0.001174525,0.000367442,0.02118095,0.002423415,0.001645355,0.004586005,0.00148465,0.009372355,0.00528636,0.000176327,0.00364,0.00134833,0.000417081,0.000922544,0.00377562
cTHp,0.000597738,0.002518781,0.001297752,0.000649852,0,0.000374175,0.005085635,0.000650443,0.000894588,0.000466648,0.002297461,0.001374608,0.000547688,0.001042975,0.00011933,0.00082709,0.003159212,0.000438103,0.000699782,0.000323385,0.000230752,0.000491355,0.001053698,0.0003535,0.000593649,0.002937583,0.000157927,0.00186614,0.000136409,0,0.001279875,0.001535465,0.001042625,0.02157195,0.000622456,0.011208772,0.005329108,0.000797495,0.00061475,0.000521423,0.00080998,0.001072848,0.001852315
cZI,0,0.001534315,0,0,0,0.000475308,0,0,0,0.00215276,0.01196005,0,0,0,0,0,0,0,0.00072146,0,0,0.003899815,0.001959025,0,0,0.00473122,0,0.0072296,0,0.0013905,0.00417004,0.00055584,0.00055498,0.0157739,0.00092768,0.01252525,0.024596605,0.00307368,0,0,0.004174745,0,0
cVTA,0.001276763,0.001852088,0.000805369,0.001034879,0.000115119,0.001143,0.000950015,0.051677283,0.028984244,0.000423124,0.01388653,0.000604102,0.01534996,0.001072303,0.00188814,0.000177476,0.00767381,0.000892578,0.003255786,0.000205241,0.007896635,0.002990065,0.057994525,0.0096996,0.008067415,0.01508403,0.021507005,0.017767445,0.00555412,0.023144875,0.00331745,0.01989005,0.023426883,0.028309625,0.070483775,0.0712583,0.050024725,0.062838625,0.05493545,0.069422,0.0357161,0.04823885,0.08613995
