Region,NTG-1M,NTG-1M,NTG-1M,NTG-1M,G20-1M,G20-1M,G20-1M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,G20-6M,G20-6M,G20-6M,G20-6M,G20-6M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,G20-9M,G20-9M,G20-9M,G20-9M
iSSp-m,0.000338895,0.000644768,0.00210525,0.0009655,0.000197081,0.000728964,0.000613685,3.36725E-05,0.000639816,0.000310302,0.000764861,0.000205665,0.00081668,0.000270644,0.001170313,0.001526484,0,0.000508664,0.001640354,0.002233865,0.000462397,0.000213625,0.00447143,0.000813709,0.002990805,0.000604972,0.001157445,0.000766973,0.000565515,0.000494378,0.001673435,0.004184995,0.000206939,0.000791741,0.00786585,0.003074135,0.001083821,0.00231625,0.00127531,0.001286335,0.000977334,0.000654148,0.00097814
iSSs,0.000508827,0.000630218,0,0.000578833,0.000494175,0,0.000689891,0,0.0025843,0.000170503,,0.000386547,0.000567135,0.001831053,0.000511112,0.002116558,0.001411703,0.00299485,0.00095436,0.000485,0.000687729,0.000870369,0.032114719,0.019754661,0.003922564,0.01035629,0.000200014,0.007557381,0.02375415,0.004866688,0.0381685,0.001543783,0.000385207,0.02480886,0.027465468,0.010927501,0.008305492,0.00565872,0.017648398,0.0137684,0.046690398,0.007543783,0.00205444
iGU,0.004501942,0,0,0,0,0,0,0,0,0.001402565,0,0.00110614,0,0.0002802,0,0,0.000311085,0.001315615,0.0081203,0.00070648,0,0.00057876,0.0202472,0.00019426,0.00102111,0,0.000574025,0.00114804,0.000240966,0.000908035,0.001343349,0.010187945,0.00219585,0.00270868,0.01215,0.000463111,0.007401355,0.000445,0.01445205,0.002546905,0.000694635,0.00138897,0.004322375
iAI,0.002435815,0.000113123,0.000128262,0,0.001747415,0.002568479,0.000254527,0.000288728,0.001207115,0,0,0,0,0.00013936,0.00174219,0.001048123,0.001740548,0.006272665,0.00575222,0.001507545,0.000991585,0.002385135,0.006182215,0.001788335,0,0.008191195,0.00305016,0.002959508,0.01486503,0.0028988,0.07308455,0.04728907,0.01659274,0.00139844,0.020054135,0.00359769,0.00339184,0.008251845,0.06769855,0.001624698,0.008694855,0.016319865,0.022970775
iCLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004528985,0.001736775,0,0,0,0,0,0,0,0,0,0.0404205,0.00522125,0.00121782,0.0085324,0.08734908,0.087438175,0.37858205,0.002437985,0,0.005233975,0,0.02347178,0.00348608,0.15070955,0.06470749,0.08405805,0.011497395,0.197049445,0.014306155
iEPd,0.003855345,0,0,0,0,0.004821709,0,0,0,0,0,0,0,0.03719932,0,0.00486508,0,0,0.00779535,0.00055156,0.00060586,0,0,0,0.000620215,0,0.00065457,0.001346385,0.000620185,0,0.001860235,0.00327178,0.0013089,0.00701645,0.003101265,0.003720115,0.00185982,0.00691305,0.00489261,0.00186091,0.00350328,0,0.001062575
iPIR,0.000231718,3.7355E-05,0,5.57332E-05,0.00027942,0.000931823,0.002272194,5.45817E-05,0.001194237,0.000656001,,0.007425617,0.002730567,0.001240783,0.000356101,0.001315703,0.003099975,0.017470486,0.000751751,0.008509843,0.000194209,0.000291941,0.008370025,0.031446898,0.005553043,0.005530553,0.009562575,0.013448612,0.031973697,0.010076105,0.011300732,0.032602632,0.013499577,0.025991945,0.016854558,0.030600513,0.022736548,0.031665083,0.04105325,0.03098504,0.046507533,0.033516132,0.055393317
iCP,0.002546345,0.002609154,0.001249904,0.000482724,0.008350957,0.015341337,0.00171821,0.00012323,0.00051724,0.004155715,0.001708681,0.032665366,0.014934699,0.005274866,0.007910296,0.007439015,0.005609158,0.009179942,0.004837401,8.64533E-05,0.002530496,0.00616355,0.162155433,0.035375847,0.011322162,0.032445213,0.000859376,0.051837527,0.017618278,0.016663128,0.026022012,0.00555887,0.00064249,0.22073862,0.169978985,0.083028799,0.027251275,0.115736263,0.057128393,0.080471409,0.143635372,0.077369869,0.094222851
iLS,0.002182425,0.002592783,0.000617902,0.0004525,0,0.00053329,0.000100552,0.0193016,0.0329476,0.00513882,0.01871942,0.003911045,0.014572405,0.003079645,0.00324982,0.002704754,0.00582624,0.00784974,0.00351991,0.01825145,0.0141013,0.008744195,0.1164328,0.184015,0.2409335,0.06930765,0.0909892,0.0486497,0.155643,0.09431605,0.1136769,0.1682625,0.1290975,0.2014475,0.175679,0.309471,0.309913,0.2091665,0.2222385,0.2207975,0.2251415,0.1833125,0.1740715
iMS,0.002653387,0.000491359,0.000174837,0.000186,0,0.000321713,0.000916775,0.0326453,0.077762325,0.01742255,0.05473003,0.02712632,0.0570794,0.0306345,0.0264319,0.00971576,0.01085282,0.05447165,0.0494893,0.09310945,0.04232795,0.011005255,0.9414785,0.9656465,1.244779,0.604061,0.5296125,0.3676545,2.13106,0.611818,0.7950715,0.736936,0.483588,1.175501,0.8603805,1.154965,1.0503415,1.34992,0.946012,0.684446,1.073825,0.824907,0.837917
iACB,0.000385182,0.000482168,0,0,7.96225E-05,0.001061542,0.000650255,0.000310977,0.001057598,0.000345614,0.00022363,0.000139419,0.002877773,0.002885601,0.00091004,0.0013633,0.001111835,0.000754479,0.001195933,0.000190904,0.000112971,0.000695246,0.000742266,0.000881895,0.00276008,0.000521128,0.003287859,0.002208633,0,0.000169906,6.34815E-05,0.0032645,0.001387251,0.003183,0.00258903,0.003195255,0.00577376,0.001619855,0.003486565,0.001651175,0.00343116,0.00474315,0.003037
iSI,0,0,0.000328229,0,0.004771935,0.000713645,0,0.00191971,0.00079406,0,0.001358585,0.000704243,0.005304332,0.00065575,0.000589266,0.002835905,0.000331937,0.000143756,0.00617965,0.000146875,0.004828225,0.002942425,0.04464305,0.04127995,0.02208345,0.005778845,0.02063775,0.00210804,0.0681825,0.01573721,0.04007925,0.08539495,0.0368901,0.01742952,0.088664,0.10831875,0.180123,0.03910385,0.081364,0.10295565,0.0865589,0.06826905,0.12119845
iOT,0.000455841,0,0.000237873,0.0021035,0.00026374,0.000679965,0.000322456,0,0.00114102,0,0,0.003481745,0.00605877,0.00118024,0.00059686,0.001160415,0.000135123,0.003226915,0.0098662,0.00243526,0.001920549,0.003678977,0.000887575,0.004035695,0.001775295,0.001721843,0.006408565,0.002854995,0.010020095,0.001259932,0.011840518,0.00775843,0.006805785,0.001726434,0.004904765,0.00987754,0.003326455,0.01154775,0.01000305,0.006486435,0.007191095,0.003813735,0.004882305
