id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
189566969,3,16954,1084040,90378.5,39860300,13532100,0.083372,12.483,12.483,0.321169
189562996,3,16239,944163,116652,41424600,16147300,0.123551,17.1023,17.1023,0.172064
189557420,3,10689,11973700,204415,180886000,30471800,0.0170719,2.54488,2.54926,1.19164
189557564,3,10729,1713480,70836.3,63969200,9900860,0.0413406,5.77821,5.77821,0.136294
189564056,3,16476,1293850,144436,52546400,20013800,0.111633,15.4684,15.4684,0.111118
189571025,3,111220826,1328820,178346,57649400,26897800,0.134214,20.2419,20.2419,0.107808
189556950,3,1085,769318,97019.3,32182000,13265600,0.126111,17.2433,17.2433,0.110517
189566761,3,16886,314721,32685.5,12557200,4712290,0.103856,14.9729,14.9729,0.172049
189566488,3,16818,58602600,2588730,2162880000,369296000,0.0441743,6.3017,6.30191,0.38123
189565909,3,16733,244783,30820.8,10324900,4396040,0.125911,17.9589,17.9589,0.107323
189561446,3,16030,32894900,4186440,1415950000,593123000,0.127267,18.0308,18.0261,0.338655
189557074,3,1113,384659,39376,14656900,5016010,0.102366,13.0401,13.0401,0.139384
189564696,3,16595,104907,11172.3,4060990,1491010,0.106497,14.2127,14.2127,0.143752
189566887,3,16910,69938,7442.64,2747160,1050700,0.106418,15.0233,15.0233,0.062109
189560082,3,15912,871971,55764.8,33208900,8019870,0.0639525,9.1974,9.18257,0.333936
189559789,3,15873,1258880,140335,53232600,19430700,0.111476,15.4349,15.4349,0.279628
189562800,3,16177,3566840,431287,157412000,58474800,0.120916,16.394,16.394,0.228884
189556236,3,959,1238840,93487.9,34227200,13975700,0.0754639,11.2812,11.2665,0.420223
189558963,3,15789,244783,19149.1,8291960,2549120,0.0782291,10.4138,10.4138,0.121907
189550143,3,314,1049070,143918,45121300,20665000,0.137186,19.6984,19.6984,0.144846
189550650,3,371,279752,35186.1,11100500,5502150,0.125776,19.668,19.668,0.217302
189563413,3,16317,1084040,110689,43005600,14999900,0.102108,13.837,13.837,0.206733
189570166,3,17550,769224,79456.6,31429600,11858500,0.103295,15.4161,15.4165,0.300779
189549598,3,149,2657640,331182,119629000,45560300,0.124615,17.1431,17.1431,0.148118
189557134,3,1128,3426960,563356,161770000,78908700,0.164389,23.0259,23.0259,0.057243
189549638,3,169,1643540,184775,67696500,27628500,0.112425,16.8103,16.8103,0.127241
189556131,3,929,244783,24974.3,9989360,3511100,0.102026,14.3437,14.3437,0.107321
189568297,3,17161,489566,25046.1,20167400,3623350,0.0511597,7.40114,7.40114,0.19463
189560054,3,15910,660478,42662.8,25673500,6185050,0.0645939,9.36451,9.31553,0.311902
189563817,3,16423,10770500,1207020,440997000,166616000,0.112067,15.4698,15.4698,0.153553
189563908,3,16448,139876,14033.4,5487610,1896630,0.100328,13.5594,13.5594,0.0360096
189556141,3,934,1119010,102731,33686200,15886500,0.0918056,14.197,14.197,0.487081
189569735,3,17483,104907,11143.2,4644250,1570140,0.106219,14.967,14.967,0.226019
189550873,3,412,3426940,389382,131235000,56058200,0.113624,16.3581,16.3581,0.166955
189550739,3,394,9160360,1106030,357434000,157187000,0.120741,17.1595,17.1575,0.478065
189554435,3,667,769318,51045.5,29008900,7471710,0.0663516,9.71212,9.71212,0.170497
189549512,3,118,349690,39277.5,15530300,5264770,0.112321,15.0555,15.0555,0.153872
189560480,3,15952,244783,24062.9,7932790,3541690,0.098303,14.4687,14.4687,0.252346
189553060,3,589,6881550,750473,271587000,107572000,0.109056,15.6319,15.3748,0.327275
189569475,3,17407,2139230,193955,74807300,31064100,0.090666,14.5212,14.6969,0.306991
189558073,3,15632,418551,16321.6,7838630,2353430,0.0389955,5.6228,5.61316,0.82341
189565444,3,16695,979132,100752,40093600,13712200,0.102899,14.0045,14.0045,0.225889
189551001,3,429,3356650,284402,115479000,41447200,0.0847279,12.3478,12.3476,0.508999
189549565,3,136,12473200,1441580,498327000,223604000,0.115574,17.9267,17.9195,0.237462
189556038,3,895,14441100,1854790,598983000,272730000,0.128438,18.8856,18.8681,0.356094
189568669,3,17249,69396.6,4836.61,2288060,781014,0.0696952,11.2544,11.2379,0.266153
189549745,3,218,3671740,361049,138865000,49679600,0.0983316,13.5302,13.5302,0.20571
189561081,3,16011,4336120,704487,204366000,104069000,0.16247,24.0005,24.0005,0.109012
189569282,3,17344,489566,42927.6,16987200,6767330,0.087685,13.8231,13.8231,0.0774243
189557940,3,15608,594290,46500.8,16837500,6623670,0.078246,11.1455,11.1427,0.612084
189568120,3,17124,1049070,101698,41147400,15694200,0.0969409,14.9601,14.9601,0.183735
189556499,3,1005,699380,92003.6,31807900,12809000,0.13155,18.3148,18.3148,0.0875696
189566551,3,16841,2832490,117236,100952000,16601800,0.0413898,5.86121,5.86121,0.383101
189558456,3,15723,1293850,72383.9,29493900,10299700,0.0559448,7.96056,7.96056,0.560442
189560072,3,15911,4514710,259816,152462000,37083900,0.0575488,8.214,8.17114,0.388667
189560869,3,15984,5105470,640020,220109000,90585300,0.12536,17.7428,17.7428,0.197221
189562789,3,16171,4266220,376688,150165000,54351800,0.0882956,12.74,12.74,0.254034
189549441,3,91,2657640,199053,100849000,30078700,0.0748985,11.3178,11.3178,0.158724
189569724,3,17479,594473,60810.5,25161000,8693020,0.102293,14.6231,14.6231,0.213984
189564560,3,16574,384659,43237,15555100,5942920,0.112403,15.4498,15.4498,0.101465
189568415,3,17204,419628,41387,16916500,6476970,0.0986278,15.435,15.435,0.215636
189554823,3,707,1258880,113855,43246500,15437500,0.0904409,12.2629,12.2629,0.174157
189567118,3,16991,2517770,270746,99698400,40418500,0.107534,16.0533,16.0533,0.103948
